LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
28.45951,77.02661,2019,08,01,    8.84,   32.88,   24.35,   24.19,   35.91,   27.07,   31.42
28.45951,77.02661,2019,08,02,    7.62,   32.02,   25.44,   25.29,   35.39,   27.77,   30.83
28.45951,77.02661,2019,08,03,    4.50,   29.79,   25.67,   25.60,   32.00,   27.50,   29.42
28.45951,77.02661,2019,08,04,    4.99,   29.95,   25.85,   25.78,   32.00,   27.01,   29.64
28.45951,77.02661,2019,08,05,    8.83,   32.77,   25.81,   25.65,   36.05,   27.23,   31.80
28.45951,77.02661,2019,08,06,    6.11,   31.91,   26.34,   26.19,   34.43,   28.32,   31.54
28.45951,77.02661,2019,08,07,    6.01,   30.02,   25.83,   25.74,   33.11,   27.10,   29.73
28.45951,77.02661,2019,08,08,    7.75,   30.49,   25.37,   25.25,   34.42,   26.67,   30.20
28.45951,77.02661,2019,08,09,    7.00,   30.14,   25.19,   25.08,   33.73,   26.73,   29.82
28.45951,77.02661,2019,08,10,    7.47,   29.66,   24.64,   24.53,   33.11,   25.64,   29.11
28.45951,77.02661,2019,08,11,    9.09,   31.59,   24.94,   24.80,   35.37,   26.28,   30.67
28.45951,77.02661,2019,08,12,    7.95,   31.50,   25.15,   25.01,   34.31,   26.36,   30.81
28.45951,77.02661,2019,08,13,    8.25,   32.12,   25.76,   25.59,   35.95,   27.69,   31.74
28.45951,77.02661,2019,08,14,    6.70,   30.96,   25.92,   25.80,   34.35,   27.65,   30.79
28.45951,77.02661,2019,08,15,    6.29,   29.41,   25.77,   25.72,   33.11,   26.82,   29.19
28.45951,77.02661,2019,08,16,    5.94,   28.65,   24.81,   24.75,   31.65,   25.71,   28.21
28.45951,77.02661,2019,08,17,    6.15,   28.23,   25.70,   25.68,   32.05,   25.91,   28.16
28.45951,77.02661,2019,08,18,    6.20,   28.16,   25.41,   25.39,   31.61,   25.41,   28.13
28.45951,77.02661,2019,08,19,    9.39,   29.30,   24.36,   24.25,   33.88,   24.50,   29.05
28.45951,77.02661,2019,08,20,    8.94,   29.16,   24.04,   23.93,   33.74,   24.79,   28.94
28.45951,77.02661,2019,08,21,   11.41,   29.83,   23.13,   22.98,   35.84,   24.43,   29.89
